Start Time:  9/3/25 5:11:45 PM            Time Completed:  9/3/25 5:44:12 PM        Elapsed Time:  00:29:51
Sample ID:     LL02_20kG_MF

Experiment:    C:\IDEASVSM\Elin\Experiments\ciclo1T\ciclo1T.exp
Data File:     C:\IDEASVSM\Elin\LL02_20kG_MF.txt
Plot File:     C:\IDEASVSM\Elin\LL02_20kG_MF.oc2
VSM Exp File:  C:\IDEASVSM\Elin\Experiments\ciclo1T\ciclo1T.stp
VSM Data File: C:\IDEASVSM\Elin\LL02_20kG_MF.dat

***DATA***

Field(G)	 Moment(emu)	
 19807.3 	 0.0143589 	
 19682 	 0.014344 	
 19501.7 	 0.0143155 	
 19291.6 	 0.0142775 	
 19076.3 	 0.014231 	
 18863.6 	 0.0141789 	
 18653 	 0.014129 	
 18447.5 	 0.0140717 	
 18245.5 	 0.0140198 	
 18042.8 	 0.0139626 	
 17842.5 	 0.0139076 	
 17643.9 	 0.0138448 	
 17443.9 	 0.0137907 	
 17246.6 	 0.0137263 	
 17047.3 	 0.0136747 	
 16849.1 	 0.0136109 	
 16652.5 	 0.0135519 	
 16454 	 0.0134848 	
 16256.7 	 0.0134244 	
 16060.9 	 0.0133647 	
 15862.9 	 0.0133014 	
 15667 	 0.0132366 	
 15471.7 	 0.0131686 	
 15274.8 	 0.0131074 	
 15080.9 	 0.013042 	
 14883.8 	 0.0129755 	
 14688.4 	 0.0129069 	
 14494.3 	 0.0128392 	
 14298.1 	 0.0127724 	
 14103.2 	 0.0126936 	
 13909.5 	 0.0126148 	
 13713.1 	 0.0125551 	
 13519.6 	 0.0124817 	
 13325.1 	 0.0124123 	
 13130 	 0.0123434 	
 12936.8 	 0.0122594 	
 12740.9 	 0.0121881 	
 12547 	 0.0121233 	
 12353.7 	 0.0120403 	
 12158 	 0.011966 	
 11963.7 	 0.0118878 	
 11770.5 	 0.0118131 	
 11574.8 	 0.0117301 	
 11380.3 	 0.011662 	
 11186.4 	 0.0115733 	
 10991.4 	 0.0114961 	
 10797.9 	 0.0114134 	
 10602.2 	 0.0113412 	
 10407.9 	 0.0112477 	
 10214.5 	 0.0111734 	
 10018.9 	 0.0110917 	
 9824.3 	 0.0110136 	
 9630.8 	 0.0109325 	
 9435.33 	 0.0108376 	
 9241.75 	 0.0107662 	
 9046.07 	 0.0106738 	
 8851.72 	 0.0105886 	
 8658.22 	 0.0104998 	
 8462.36 	 0.0104147 	
 8267.83 	 0.0103223 	
 8074.52 	 0.0102237 	
 7878.58 	 0.0101425 	
 7683.6 	 0.0100524 	
 7489.53 	 0.00997304 	
 7293.74 	 0.00988033 	
 7099.88 	 0.00979017 	
 6903.91 	 0.00969357 	
 6708.5 	 0.00961109 	
 6514.93 	 0.00951016 	
 6318.9 	 0.00941416 	
 6123.91 	 0.00931262 	
 5929.99 	 0.00922041 	
 5733.72 	 0.00913119 	
 5538.77 	 0.00902037 	
 5344.4 	 0.00894278 	
 5148.62 	 0.00883461 	
 4954.22 	 0.0087422 	
 4759.18 	 0.00864282 	
 4563.85 	 0.00853665 	
 4370.18 	 0.00844431 	
 4174.12 	 0.0083272 	
 3979.16 	 0.0082202 	
 3784.73 	 0.00811167 	
 3588.45 	 0.00799754 	
 3393.21 	 0.00787321 	
 3199.21 	 0.00777308 	
 3002.91 	 0.00765318 	
 2807.84 	 0.00753856 	
 2613.57 	 0.00739094 	
 2417.71 	 0.00726694 	
 2223.79 	 0.00715617 	
 2027.51 	 0.00702212 	
 1832.62 	 0.00689746 	
 1638.78 	 0.00676445 	
 1442.47 	 0.00664311 	
 1246.93 	 0.00649754 	
 1052.81 	 0.00635173 	
 856.426 	 0.00621337 	
 661.545 	 0.00608164 	
 467.369 	 0.00593406 	
 271.274 	 0.00578672 	
 77.9382 	 0.00562222 	
-118.718 	 0.00544154 	
-313.738 	 0.00524941 	
-507.447 	 0.00508358 	
-704.389 	 0.00489873 	
-899.782 	 0.00473582 	
-1093.47 	 0.00458417 	
-1289.38 	 0.00441404 	
-1483.74 	 0.00425977 	
-1678.02 	 0.00410746 	
-1874 	 0.00393773 	
-2068.01 	 0.00378378 	
-2264.81 	 0.00360896 	
-2459.96 	 0.00345156 	
-2653.96 	 0.0032748 	
-2850.24 	 0.00310089 	
-3045.33 	 0.00293605 	
-3238.67 	 0.00277715 	
-3434.85 	 0.00260394 	
-3629.47 	 0.00242242 	
-3823.66 	 0.00225149 	
-4019.22 	 0.00206203 	
-4213.46 	 0.00185951 	
-4409.31 	 0.00167481 	
-4604.69 	 0.00148818 	
-4798.64 	 0.00127775 	
-4994.57 	 0.00105174 	
-5189.42 	 0.000822234 	
-5383.31 	 0.00057916 	
-5579.11 	 0.000321689 	
-5772.71 	 0.0000391402 	
-5969.04 	-0.000255596 	
-6163.65 	-0.000603464 	
-6356.93 	-0.000992114 	
-6552.56 	-0.00144349 	
-6747.15 	-0.00197056 	
-6940.49 	-0.00259041 	
-7136.38 	-0.00331663 	
-7330.52 	-0.00410765 	
-7524.14 	-0.00496282 	
-7719.8 	-0.00586745 	
-7914.29 	-0.00675986 	
-8107.67 	-0.00760647 	
-8302.94 	-0.00840159 	
-8496.36 	-0.00910654 	
-8692.03 	-0.00971385 	
-8886.22 	-0.0102116 	
-9079.05 	-0.0106026 	
-9274.96 	-0.0109382 	
-9469.27 	-0.0112122 	
-9662.25 	-0.0114529 	
-9857.85 	-0.0116622 	
-10050.9 	-0.0118435 	
-10246.2 	-0.0120145 	
-10440.1 	-0.0121735 	
-10633.1 	-0.0123047 	
-10828.3 	-0.0124268 	
-11022.4 	-0.0125447 	
-11215.4 	-0.0126588 	
-11410.1 	-0.0127609 	
-11604.4 	-0.012859 	
-11797.4 	-0.0129464 	
-11992.3 	-0.0130328 	
-12185.4 	-0.0131178 	
-12379.6 	-0.0132027 	
-12573.9 	-0.0132973 	
-12766.3 	-0.0133726 	
-12961.3 	-0.0134449 	
-13155 	-0.0135212 	
-13347.4 	-0.0136014 	
-13542.2 	-0.0136638 	
-13735.8 	-0.0137423 	
-13928.3 	-0.0138132 	
-14122.9 	-0.0138827 	
-14315.9 	-0.0139543 	
-14509.4 	-0.0140247 	
-14703.4 	-0.0140937 	
-14896 	-0.0141639 	
-15090.3 	-0.0142345 	
-15283.3 	-0.0142982 	
-15475.1 	-0.0143658 	
-15669.5 	-0.0144296 	
-15861.8 	-0.0144963 	
-16053.9 	-0.0145559 	
-16247.6 	-0.0146214 	
-16439.9 	-0.0146846 	
-16632.3 	-0.0147416 	
-16825.3 	-0.0147971 	
-17016.1 	-0.0148692 	
-17209.4 	-0.014924 	
-17401 	-0.014988 	
-17591.6 	-0.0150427 	
-17783.6 	-0.0151026 	
-17974.8 	-0.0151635 	
-18164 	-0.0152171 	
-18355.3 	-0.0152666 	
-18543.6 	-0.0153194 	
-18733.1 	-0.01537 	
-18919.9 	-0.0154179 	
-19041.3 	-0.0154467 	
-18923.9 	-0.0154242 	
-18736.7 	-0.0153803 	
-18535.7 	-0.0153367 	
-18330.5 	-0.015278 	
-18127.8 	-0.015222 	
-17927.7 	-0.0151649 	
-17726.2 	-0.0151086 	
-17527 	-0.0150548 	
-17329 	-0.0149958 	
-17129.4 	-0.0149361 	
-16932.2 	-0.0148676 	
-16733.2 	-0.0148086 	
-16535.8 	-0.0147463 	
-16339.3 	-0.0146896 	
-16141 	-0.014622 	
-15944 	-0.0145603 	
-15748.5 	-0.0144914 	
-15551.2 	-0.0144224 	
-15355.9 	-0.0143616 	
-15159.2 	-0.0142921 	
-14963.3 	-0.0142246 	
-14768.2 	-0.0141549 	
-14572.1 	-0.0140869 	
-14376.3 	-0.0140156 	
-14182.6 	-0.0139536 	
-13986.1 	-0.013884 	
-13791.2 	-0.0138148 	
-13597.7 	-0.013732 	
-13401.9 	-0.013668 	
-13208.2 	-0.0135878 	
-13013.4 	-0.0135169 	
-12818.4 	-0.0134375 	
-12625.5 	-0.013361 	
-12430 	-0.0133015 	
-12235.3 	-0.0132066 	
-12042.7 	-0.0131296 	
-11847 	-0.0130524 	
-11652.8 	-0.0129876 	
-11459.6 	-0.012907 	
-11264 	-0.012825 	
-11070.7 	-0.0127434 	
-10875.9 	-0.0126615 	
-10681 	-0.0125835 	
-10488.1 	-0.0125058 	
-10292.6 	-0.0124249 	
-10098.6 	-0.012345 	
-9905.09 	-0.0122487 	
-9709.47 	-0.0121804 	
-9515.44 	-0.0120919 	
-9321.87 	-0.0120115 	
-9126.36 	-0.011921 	
-8932.86 	-0.0118319 	
-8737.58 	-0.0117506 	
-8542.98 	-0.0116557 	
-8349.75 	-0.0115752 	
-8154.23 	-0.0114909 	
-7959.68 	-0.011395 	
-7766.03 	-0.0113122 	
-7570.21 	-0.0112117 	
-7375.73 	-0.0111195 	
-7182.17 	-0.0110338 	
-6986.6 	-0.0109482 	
-6792.66 	-0.0108595 	
-6597.31 	-0.0107569 	
-6402.45 	-0.0106641 	
-6208.75 	-0.0105776 	
-6013.23 	-0.0104753 	
-5818.27 	-0.0103851 	
-5624.52 	-0.0102913 	
-5428.68 	-0.010182 	
-5233.85 	-0.0100901 	
-5040.01 	-0.0100008 	
-4843.8 	-0.00989274 	
-4649.73 	-0.00978943 	
-4454.11 	-0.00968488 	
-4258.4 	-0.0095812 	
-4064.94 	-0.00946997 	
-3868.75 	-0.00936523 	
-3673.35 	-0.00926041 	
-3480.31 	-0.00914227 	
-3283.89 	-0.00901961 	
-3089.31 	-0.00889482 	
-2895.17 	-0.00877384 	
-2699.07 	-0.00865815 	
-2505.22 	-0.00854215 	
-2308.95 	-0.00840043 	
-2113.31 	-0.00825959 	
-1919.17 	-0.00813843 	
-1723.06 	-0.00801244 	
-1527.99 	-0.0078722 	
-1334.59 	-0.0077577 	
-1138.72 	-0.00762762 	
-944.057 	-0.00749408 	
-749.264 	-0.00734951 	
-553.094 	-0.00719382 	
-358.974 	-0.00705656 	
-163.336 	-0.00689808 	
 32.1066 	-0.00671067 	
 226.216 	-0.00652606 	
 422.159 	-0.00634336 	
 617.125 	-0.0061886 	
 811 	-0.00599947 	
 1007.41 	-0.00584935 	
 1202.82 	-0.00569105 	
 1397.14 	-0.00552145 	
 1593.57 	-0.00536253 	
 1787.45 	-0.00519406 	
 1983.22 	-0.00502726 	
 2178.76 	-0.00487526 	
 2372.39 	-0.00470964 	
 2568.58 	-0.00454485 	
 2763.71 	-0.00437801 	
 2957.68 	-0.00420301 	
 3153.87 	-0.00402832 	
 3349.21 	-0.00386569 	
 3543.08 	-0.00368763 	
 3739.72 	-0.00350235 	
 3933.56 	-0.0033444 	
 4129.85 	-0.00314629 	
 4324.96 	-0.00295753 	
 4518.21 	-0.00276155 	
 4714.48 	-0.00255545 	
 4909.35 	-0.0023429 	
 5103.04 	-0.00212495 	
 5299.16 	-0.00189331 	
 5494.38 	-0.00164406 	
 5688.37 	-0.00137631 	
 5884.42 	-0.00108703 	
 6078.24 	-0.000768532 	
 6274.61 	-0.000407451 	
 6469.26 	 0.0000152642 	
 6663.01 	 0.000500311 	
 6858.78 	 0.00106691 	
 7053.76 	 0.00174413 	
 7247.52 	 0.00250462 	
 7443.45 	 0.00334647 	
 7638.25 	 0.00422705 	
 7832.33 	 0.00511841 	
 8027.86 	 0.0059882 	
 8222.46 	 0.00681806 	
 8416.21 	 0.00757221 	
 8611.23 	 0.00822164 	
 8804.82 	 0.00875505 	
 9000.2 	 0.00920607 	
 9194.9 	 0.00956686 	
 9388.05 	 0.00987255 	
 9583.67 	 0.0101214 	
 9778.02 	 0.0103465 	
 9971.36 	 0.010543 	
 10166.8 	 0.0107265 	
 10360 	 0.0108869 	
 10555.1 	 0.0110296 	
 10749.9 	 0.0111547 	
 10942.9 	 0.0112788 	
 11138.1 	 0.0113929 	
 11332.4 	 0.0115049 	
 11525.4 	 0.0115923 	
 11720.8 	 0.0116912 	
 11914.9 	 0.0117862 	
 12107.9 	 0.0118742 	
 12302.8 	 0.0119515 	
 12495.3 	 0.0120321 	
 12690.4 	 0.0121238 	
 12884.3 	 0.012199 	
 13076.4 	 0.0122676 	
 13271.8 	 0.0123516 	
 13465 	 0.0124237 	
 13657.5 	 0.0124983 	
 13852.2 	 0.0125678 	
 14045.7 	 0.0126383 	
 14238 	 0.01271 	
 14432.4 	 0.0127832 	
 14625.4 	 0.0128499 	
 14818.4 	 0.0129163 	
 15012.3 	 0.0129801 	
 15204.1 	 0.013049 	
 15398.2 	 0.0131196 	
 15590.8 	 0.0131817 	
 15782.5 	 0.013245 	
 15975.9 	 0.013312 	
 16169 	 0.0133735 	
 16360.6 	 0.0134359 	
 16554.4 	 0.0135041 	
 16746.6 	 0.0135652 	
 16938.7 	 0.013625 	
 17131.3 	 0.0136843 	
 17322.2 	 0.0137432 	
 17515.4 	 0.0138017 	
 17706.5 	 0.0138624 	
 17896.5 	 0.0139173 	
 18088.5 	 0.0139664 	
 18279.4 	 0.0140271 	
 18468.2 	 0.0140752 	
 18658.2 	 0.0141262 	
 18845.1 	 0.0141746 	
 19031.7 	 0.0142255 	
 19215.8 	 0.0142683 	
 19395.8 	 0.0143058 	
 19574.4 	 0.0143519 	

	
	
