Start Time:  9/3/25 5:45:48 PM            Time Completed:  9/3/25 6:15:53 PM        Elapsed Time:  00:30:04
Sample ID:     LL02_20kG_MF_v2

Experiment:    C:\IDEASVSM\Elin\Experiments\ciclo1T\ciclo1T.exp
Data File:     C:\IDEASVSM\Elin\LL02_20kG_MF_v2.txt
Plot File:     C:\IDEASVSM\Elin\LL02_20kG_MF_v2.oc2
VSM Exp File:  C:\IDEASVSM\Elin\Experiments\ciclo1T\ciclo1T.stp
VSM Data File: C:\IDEASVSM\Elin\LL02_20kG_MF_v2.dat

***DATA***

Field(G)	 Moment(emu)	
 19806.6 	 0.0143831 	
 19679.5 	 0.0143691 	
 19498.3 	 0.0143393 	
 19287.8 	 0.0142995 	
 19071.6 	 0.0142477 	
 18859.4 	 0.0141975 	
 18649 	 0.0141461 	
 18443.4 	 0.0140929 	
 18241.4 	 0.0140409 	
 18038.7 	 0.0139803 	
 17838.5 	 0.0139231 	
 17639.7 	 0.0138681 	
 17439.9 	 0.0138068 	
 17242.8 	 0.0137459 	
 17043.2 	 0.0136895 	
 16845.2 	 0.0136285 	
 16648.8 	 0.0135644 	
 16449.8 	 0.0135033 	
 16252.7 	 0.0134407 	
 16056.8 	 0.0133813 	
 15859.2 	 0.0133128 	
 15662.9 	 0.013253 	
 15467.9 	 0.0131834 	
 15271 	 0.0131159 	
 15076.6 	 0.0130433 	
 14879.8 	 0.0129819 	
 14684.5 	 0.0129111 	
 14490 	 0.0128444 	
 14294.4 	 0.0127795 	
 14099.5 	 0.0127078 	
 13905 	 0.0126354 	
 13709.8 	 0.0125637 	
 13515.5 	 0.0124865 	
 13321.1 	 0.0124198 	
 13126.1 	 0.0123421 	
 12932.5 	 0.0122674 	
 12737.2 	 0.012187 	
 12542.9 	 0.0121286 	
 12349.7 	 0.0120464 	
 12154 	 0.0119673 	
 11960.1 	 0.0118965 	
 11766.5 	 0.0118186 	
 11570.7 	 0.0117399 	
 11376.7 	 0.0116647 	
 11182.4 	 0.0115838 	
 10987.5 	 0.0115062 	
 10793.9 	 0.0114287 	
 10598.6 	 0.0113414 	
 10404 	 0.0112592 	
 10210.2 	 0.0111788 	
 10015.2 	 0.0111044 	
 9820.39 	 0.0110123 	
 9627.16 	 0.0109442 	
 9431.4 	 0.0108607 	
 9236.9 	 0.0107666 	
 9043.07 	 0.0106777 	
 8847.7 	 0.0105954 	
 8654.45 	 0.0105173 	
 8458.4 	 0.0104264 	
 8263.95 	 0.0103387 	
 8070.81 	 0.0102638 	
 7874.57 	 0.0101636 	
 7679.74 	 0.0100731 	
 7485.86 	 0.00998973 	
 7289.97 	 0.00988921 	
 7094.9 	 0.00979873 	
 6900.83 	 0.0097206 	
 6704.71 	 0.00962136 	
 6511.24 	 0.00952102 	
 6314.82 	 0.00943218 	
 6120.01 	 0.00932767 	
 5926.16 	 0.00924612 	
 5729.89 	 0.00914464 	
 5534.74 	 0.00905528 	
 5340.88 	 0.00895188 	
 5144.72 	 0.00884887 	
 4950.37 	 0.00875083 	
 4754.79 	 0.00864787 	
 4560.22 	 0.00855122 	
 4366.02 	 0.00844718 	
 4170.36 	 0.00835709 	
 3975.09 	 0.0082544 	
 3781.08 	 0.00813079 	
 3584.74 	 0.00802107 	
 3389.17 	 0.00790594 	
 3195.22 	 0.00777708 	
 2999.06 	 0.00765536 	
 2804.4 	 0.00752715 	
 2609.06 	 0.00741308 	
 2413.75 	 0.00729843 	
 2220.09 	 0.00717322 	
 2023.78 	 0.00702631 	
 1828.56 	 0.00691074 	
 1634.92 	 0.00678945 	
 1438.57 	 0.00664762 	
 1243.1 	 0.00653458 	
 1048.47 	 0.00639125 	
 852.737 	 0.00624187 	
 658.325 	 0.00608524 	
 462.734 	 0.00596975 	
 267.393 	 0.00580577 	
 73.8029 	 0.00564203 	
-122.548 	 0.00546512 	
-317.86 	 0.00527341 	
-511.541 	 0.00509495 	
-708.078 	 0.00493785 	
-903.61 	 0.00476896 	
-1097.53 	 0.00460588 	
-1293.17 	 0.00445925 	
-1487.17 	 0.00428298 	
-1682.92 	 0.0041014 	
-1877.75 	 0.00396233 	
-2071.86 	 0.00380354 	
-2268.5 	 0.00364006 	
-2464.17 	 0.00346562 	
-2657.92 	 0.00330826 	
-2854.12 	 0.00314094 	
-3049.1 	 0.00296723 	
-3242.85 	 0.00279729 	
-3438.7 	 0.00262459 	
-3632.59 	 0.00243509 	
-3827.97 	 0.00226011 	
-4023.59 	 0.00207261 	
-4216.81 	 0.001893 	
-4413.44 	 0.00170652 	
-4608.5 	 0.00150411 	
-4802.72 	 0.00129611 	
-4998.29 	 0.00108905 	
-5193.35 	 0.000858315 	
-5387 	 0.000619874 	
-5583.1 	 0.00033671 	
-5777.08 	 0.0000780394 	
-5972.55 	-0.000242331 	
-6167.49 	-0.000575968 	
-6360.75 	-0.000959244 	
-6556.58 	-0.00141106 	
-6751.14 	-0.00194786 	
-6944.22 	-0.00256282 	
-7140 	-0.0032904 	
-7334.76 	-0.00408732 	
-7528.11 	-0.00494573 	
-7723.61 	-0.00583315 	
-7917.04 	-0.00671712 	
-8112.61 	-0.00756051 	
-8306.98 	-0.00836546 	
-8500.32 	-0.00906378 	
-8695.82 	-0.00966289 	
-8889.86 	-0.01014 	
